outcome,onCampus,loan,scholarship,firstgen,act,ap,remedial,ratio,cdw_count
Did not Graduate,1,1.1950001,0,1,29,4,0,100,1
Graduated,0,0,0,1,20,0,0,77.777779,1
Graduated,0,0,0,0,21,7,0,100,0
Graduated,1,0,0,1,26,12,0,100,0
Graduated,1,2.7939999,0,1,29,0,0,100,0
Graduated,1,5.3959999,0.5,1,26,0,0,100,0
Transferred,1,2.506,0,0,23,0,0,81.25,1
Graduated,1,1.294,0,1,30,20,0,80,1
Graduated,0,0,0,0,22,0,0,100,1
Transferred,1,5.4429998,0,1,23,0,0,100,0
Graduated,1,5.1939998,0,1,31,8,0,100,0
Did not Graduate,1,0,0,0,27,0,0,76.92308,3
Did not Graduate,0,0,0,1,22,4,0,100,1
Graduated,1,0,0,1,18,0,0,100,4
Graduated,0,0.49599999,0,0,13,0,0,100,0
Graduated,1,0,0,0,23,4,1,100,0
Graduated,1,0,0,1,23,0,0,100,0
Graduated,1,2.6440001,0,1,29,0,0,77.777779,2
Graduated,1,0,0,1,25,0,0,100,0
Graduated,1,3.5439999,0,1,19,0,0,100,1
Transferred,1,0,0,0,28,4,0,100,0
Graduated,1,2.7939999,0,1,28,0,0,100,0
Did not Graduate,1,1.294,0,1,25,0,0,71.428574,3
Graduated,1,7.6370001,0,0,25,0,0,100,0
Graduated,1,0,2.5,1,34,39,0,100,0
Graduated,1,0,1,1,32,4,0,100,3
Graduated,0,0,0,0,15,0,0,78.571426,1
Graduated,1,2.7939999,0,0,22,0,0,100,0
Graduated,0,0,0,0,19,0,1,100,1
Graduated,0,4.7119999,1,1,30,6,0,100,0
Graduated,1,3.0420001,0,1,25,4,0,100,1
Graduated,1,0,1.5,1,30,31,0,100,0
Graduated,0,0,0,0,29,0,0,100,0
Graduated,1,0,0,1,26,0,0,100,2
Graduated,1,0,0,0,24,8,0,100,0
Graduated,1,1.166,0,1,21,0,0,100,2
Graduated,1,0,0.5,1,31,11,0,100,0
Did not Graduate,1,7.369,0,1,25,0,0,73.333344,2
Graduated,1,0,0,1,30,4,0,100,1
Graduated,1,0,0,1,20,0,0,100,5
Graduated,1,0,0,1,30,8,0,100,0
Graduated,1,3.5439999,0,0,21,0,1,100,0
Did not Graduate,0,3.7320001,0,0,28,0,1,100,0
Graduated,1,0,0,1,24,23,0,100,0
Graduated,1,7.4419999,0,1,23,0,0,81.25,2
Graduated,0,0,0,0,22,0,0,100,0
Graduated,0,1.0319999,1.5,1,28,0,0,73.333344,0
Graduated,1,0,0.5,1,30,6,0,100,0
Graduated,1,2.4809999,0,1,23,0,0,100,0
Graduated,1,7.0619998,0,0,22,0,0,100,0
Graduated,1,0,1.5,1,30,26,0,100,0
Graduated,1,0,0,0,27,14,0,80,1
Graduated,1,4.3759999,0,0,26,0,0,100,2
Graduated,1,1.294,0,1,21,0,0,100,3
Did not Graduate,1,0,0,0,18,0,0,100,1
Graduated,1,0.89700001,0,0,23,0,0,100,3
Graduated,1,1.294,0,1,30,0,0,71.428574,3
Graduated,1,0.37599999,0,0,20,0,0,100,1
Graduated,1,0,0,0,26,0,1,100,1
Did not Graduate,1,0,0,1,26,0,0,50,3
Transferred,0,1.294,0,0,29,0,0,100,2
Did not Graduate,1,2.7939999,0,0,24,0,1,42.85714,1
Did not Graduate,1,0,0,1,26,0,0,100,0
Transferred,1,6.3429999,0,1,25,0,0,56.25,2
Did not Graduate,1,7.0630002,0,0,21,0,0,46.666672,3
Graduated,0,2.7939999,0,1,27,4,0,100,0
Graduated,1,1.294,0,1,21,0,0,100,0
Did not Graduate,0,1.294,0,0,22,0,1,100,1
Graduated,1,0,2.5,1,27,11,0,75,1
Did not Graduate,0,0,0,1,25,0,0,100,1
Transferred,1,3.733,0,0,27,0,0,100,1
Transferred,0,0,0,1,27,0,0,100,1
Graduated,0,1.294,0,1,28,0,0,100,0
Graduated,1,0,0,1,29,18,0,100,1
Graduated,1,1.626,0,1,28,0,0,100,0
Did not Graduate,0,2.25,0,1,24,0,0,0,0
Graduated,1,5.6630001,0,1,22,4,0,100,0
Graduated,1,3.9760001,0,0,19,0,0,100,2
Did not Graduate,0,1.294,0,1,29,4,0,100,4
Did not Graduate,1,4.7639999,0,0,17,0,1,100,3
Transferred,1,0,0,0,21,0,0,100,0
Did not Graduate,1,1.294,1.65,1,28,0,0,100,2
Graduated,1,0,0,1,30,12,0,68.75,1
Graduated,1,0,0,1,25,0,0,75,4
Graduated,0,0,0,1,22,0,0,100,0
Graduated,1,1.294,1,1,24,10,0,100,0
Graduated,1,0,0,1,25,0,0,100,0
Graduated,1,1.294,0,1,26,0,0,100,1
Graduated,0,3.244,0,1,25,0,0,100,3
Did not Graduate,1,3.5439999,0,0,22,0,0,100,2
Graduated,0,0,0,1,24,0,0,100,1
Graduated,1,0,0,1,26,0,0,100,0
Did not Graduate,1,5.8340001,0,0,26,0,1,100,0
Graduated,1,0,1.5,1,31,27,0,100,0
Graduated,1,1.724,0,1,27,34,0,100,0
Transferred,1,0,1,1,27,0,0,100,0
Graduated,0,0.44,0,0,26,0,0,100,1
Graduated,1,0,0,1,19,0,0,75,1
Did not Graduate,0,0,0,0,20,0,0,73.333344,3
Graduated,1,0,0,1,27,4,0,100,0
Graduated,1,0,0,1,25,4,0,100,2
